id_name,category,price_sar,old_price,sellable_online,link,other_colors,description,designer,dimensions
50312424_INNAMO,Outdoor furniture,107.4,SR 179,TRUE,https://www.ikea.com/sa/en/p/innamo-chair-with-armrests-outdoor-white-50312424/,No,"Chair with armrests, outdoor",IKEA of Sweden,68x93x54
60205188_ÄPPLARÖ,Outdoor furniture,309,No old price,TRUE,https://www.ikea.com/sa/en/p/aepplaroe-one-seat-section-outdoor-brown-stained-brown-60205188/,No,"One-seat section, outdoor",K Hagberg/M Hagberg,80x73x63
9227532_ÄPPLARÖ,Outdoor furniture,1588,No old price,TRUE,https://www.ikea.com/sa/en/p/aepplaroe-2-seat-modular-sofa-outdoor-brown-stained-kungsoe-white-white-s09227532/,Yes,"2-seat modular sofa, outdoor,          160x80x73 cm",IKEA of Sweden/K Hagberg/M Hagberg,80x73x160
49251983_HAVSTEN,Outdoor furniture,2975,No old price,TRUE,https://www.ikea.com/sa/en/p/havsten-3-seat-sofa-in-outdoor-with-open-end-without-armrests-beige-s49251983/,No,"3-seat sofa, in/outdoor,          245x94x90 cm",Andreas Fredriksson,94x90x245
79258271_KUNGSHOLMEN,Outdoor furniture,2792.8,"SR 3,208",TRUE,https://www.ikea.com/sa/en/p/kungsholmen-modular-corner-sofa-3-seat-outdoor-black-brown-froesoen-duvholmen-beige-s79258271/,Yes,"Modular corner sofa 3-seat, outdoor",Eva Lilja Löwenhielm/IKEA of Sweden/Nike Karlsson,80x90x222
10255307_FEJAN,Outdoor furniture,59,No old price,TRUE,https://www.ikea.com/sa/en/p/fejan-chair-outdoor-foldable-white-10255307/,No,"Chair, outdoor",K Hagberg/M Hagberg,42x89x44
89259963_ÄPPLARÖ,Outdoor furniture,542,No old price,TRUE,https://www.ikea.com/sa/en/p/aepplaroe-easy-chair-outdoor-brown-stained-froesoen-duvholmen-dark-grey-s89259963/,Yes,"Easy chair, outdoor,          63x80x84 cm",IKEA of Sweden/Eva Lilja Löwenhielm/K Hagberg/M Hagberg,80x84x63
40413131_ÄPPLARÖ,Outdoor furniture,175,No old price,TRUE,https://www.ikea.com/sa/en/p/aepplaroe-chair-outdoor-foldable-brown-stained-40413131/,No,"Chair, outdoor",K Hagberg/M Hagberg,56x86x42
10174641_IKEA PS VÅGÖ,Outdoor furniture,139,No old price,TRUE,https://www.ikea.com/sa/en/p/ikea-ps-vagoe-easy-chair-outdoor-white-10174641/,No,"Easy chair, outdoor",Thomas Sandell,92x71x74
70418170_PRÄSTHOLM,Outdoor furniture,695,No old price,TRUE,https://www.ikea.com/sa/en/p/praestholm-bench-with-backrest-outdoor-grey-70418170/,No,"Bench with backrest, outdoor",Ola Wihlborg,52x79x113
