title,origin,language_rank
Slim,2011 - NA,196
MicroPython,2014 - Damien P. George,221
Hy,2013 - Paul Tagliamonte,195
ALGOL 60,1960 - John Backus and Friedrich L. Bauer and Julien Green and Charles Katz and John McCarthy and Peter Naur and Alan Perlis and Heinz Rutishauser and Klaus Samelson and Adriaan van Wijngaarden and Bernard Vauquois and Joseph Henry Wegstein and Michael Woodger,239
Zephir,2013 - Andres Gutierrez,199
Arc,2001 - Paul Graham and Robert Morris,235
SPARQL,2008 - NA,228
Ceylon,2011 - Gavin King,224
LOLCODE,2007 - Adam Lindsay,225
Opa,2011 - NA,237
SPARC,1987 - NA,177
SuperCollider,1996 - NA,238
SystemVerilog,2002 - NA,236
QBasic,1991 - NA,222
Clean,1987 - NA,230
Lean,2015 - Leonardo de Moura,194
SNOBOL,1962 - David J. Farber and Ralph E. Griswold,245
Cython,2007 - NA,243
RFC,1969 - Steve Crocker,186
Bison,1985 - NA,247
XPath,1999 - NA,191
Inform,1993 - Graham Nelson,246
CLIPS,1985 - NA,240
reStructuredText,2002 - David Goodger,252
Pony,2012 - NA,217
RobotFramework,2013 - NA,232
PL/pgSQL,1998 - Jan Wieck,259
Factor,2003 - Slava Pestov,258
Self,1987 - David Ungar,267
Stata,1985 - William Gould,241
Multi-User Forth,1995 - NA,253
Nextflow,2013 - NA,215
JSON5,2012 - Aseem Kishore,227
SI,1960 - NA,223
Pike,1994 - Fredrik Hübinette,264
grep,1974 - NA,206
EDN,2012 - NA,220
PL/I,1964 - NA,212
Isabelle,1986 - NA,268
WSDL,2000 - NA,254
NetLogo,1999 - Uri Wilensky,244
MiniD,2006 - Jarrett Billingsley,273
API Blueprint,2013 - NA,262
RAML,2013 - NA,251
HCL,2014 - NA,248
Perl 6,2015 - Larry Wall,287
Click,1999 - NA,218
ATS,2013 - Hongwei Xi,278
AutoLISP,1986 - David Betz,288
S-algol,1979 - NA,285
IA-32,1985 - NA,211
Csound,1985 - NA,284
F*,2014 - NA,229
Ini,1987 - NA,250
Sass,2006 - Hampton Lintorn-Catlin,257
Turtle,2011 - NA,231
Lex,1975 - NA,286
AGC,1966 - NA,249
Gnuplot,1986 - NA,296
Xojo,1996 - NA,297
Morse code,1837 - NA,265
FoxPRO,1992 - NA,299
FlatBuffers,2014 - NA,270
ClojureScript,2011 - NA,282
Ioke,2008 - Ola Bini,306
INTERCAL,1972 - NA,302
Java Bytecode,1995 - NA,226
S-expressions,1960 - NA,233
E,1997 - Mark S. Miller,308
Alloy,1997 - NA,300
Wren,2013 - Bob Nystrom,277
odin,2016 - NA,269
AXIOM,1992 - NA,256
LiveScript,2011 - Jeremy Ashkenas and Satoshi Murakami and George Zahariev,310
RDoc,2004 - NA,305
CSP,1978 - NA,266
Modelica,1997 - NA,312
Embedded Crystal,2016 - NA,307
Office Open XML,2006 - NA,255
POV-Ray SDL,1991 - Chris Cason,263
Microsoft BASIC,1975 - NA,242
Clipper,1985 - NA,321
ERB,2004 - NA,315
YARA,2008 - Victor M. Alvarez,295
Batchfile,1985 - NA,272
MariaDB,2009 - NA,260
Whitespace,2003 - NA,261
GAMS,1963 - NA,314
DNS,1985 - Paul Mockapetris,283
SYMBOL,1971 - NA,275
B,1969 - Ken Thompson and Dennis Ritchie,293
AsciiDoc,2002 - NA,326
BPMN,2004 - NA,271
Pod,1997 - NA,325
M4,1977 - Brian Kernighan and Dennis Ritchie,324
Datalog,1977 - NA,327
Objective-J,2008 - NA,322
Marko,2014 - NA,313
Dafny,2009 - K. Rustan M. Leino,280
C--,1997 - Simon Peyton Jones,276
Ninja,2012 - Evan Martin,290
Dhall,2017 - NA,301
Base64,1987 - NA,292
Wolfram Language,1988 - Stephen Wolfram,332
Oxygene,2002 - NA,335
Gambas,1999 - Benoît Minisini,339
JSON-LD,2010 - Dave Longley,309
Q,2003 - Arthur Whitney,337
PEG.js,2010 - David Majda,317
HyperTalk,1987 - Dan Winkler,347
TLA,1999 - Leslie Lamport,274
SPARK,1988 - NA,336
halide,2010 - NA,319
Befunge,1993 - Chris Pressey,343
Puppet,2005 - NA,291
Speedie,2022 - Theodore H Smith,334
Miranda,1985 - David Turner,351
Bourne shell,1977 - NA,279
C3,2019 - Christoffer Lernö,281
Bicep,2020 - Anthony Martin,320
Visual FoxPro,1995 - NA,304
Seed7,2005 - Thomas Mertes,354
x86-64,2000 - NA,329
PowerBuilder,2010 - NA,345
Twig,2009 - NA,355
Less,2009 - Alexis Sellier,348
XS,2002 - NA,353
eC,2004 - Jérôme Jacovella-St-Louis,289
SGML,1986 - NA,298
Coconut,2014 - NA,328
Simulink,1984 - NA,294
G-code,1950 - NA,318
Oberon-2,1991 - Niklaus Wirth and Hanspeter Mössenböck,362
Genie,2008 - Jamie McCracken,368
QuickBASIC,1985 - NA,374
Maxima,1982 - NA,370
Thrift,2007 - NA,367
NATO phonetic alphabet,1956 - NA,346
AutoHotkey,2003 - NA,316
Classroom Object Oriented Language,1996 - Alexander Aiken,360
PL/0,1976 - Niklaus Wirth,371
GW-BASIC,1983 - NA,303
SETL,1969 - Jacob T. Schwartz,384
LINQ,2007 - NA,388
JSON Schema,2010 - Kris Zyp,338
Z notation,1974 - NA,311
ECL,2000 - NA,323
Falcon,2003 - Giancarlo Niccolai,392
SaltStack,2011 - Thomas S Hatch,373
ALGOL 68,1968 - NA,386
XBase++,1997 - NA,381
Netwide Assembler,1996 - NA,393
Transact-SQL,1984 - NA,380
CLU,1975 - Barbara Liskov,397
Dc,1978 - NA,395
LiveCode,2001 - NA,399
COMTRAN,1957 - NA,350
ASN.1,1984 - NA,341
wisp,2012 - Santosh Rajan and Irakli Gozalishvili and LeXofLeviafan and Chris McCormick,330
ink,2015 - Joseph Humfrey,359
ABC,1980 - NA,403
DIAGRAM,1980 - NA,344
K,1993 - Arthur Whitney,409
YASnippet,2008 - Zhang Chiyuan,365
Scala.js,2013 - Martin Odersky,377
Cap'n Proto,2013 - Kenton Varda,394
Squeak,1996 - NA,413
HyperCard,1987 - NA,331
PRQL,2022 - Maximilian Roos,378
Jython,2001 - NA,363
Bluespec,2000 - NA,404
Croc,2006 - Jarrett Billingsley,405
KaTeX,2013 - Emily Eisenberg,376
EJS,2010 - Tj Holowaychuk,390
S,1976 - NA,333
True BASIC,1983 - John George Kemeny and Thomas Eugene Kurtz,421
WxBasic,2002 - NA,415
Markwhen,2022 - Rob Koch,379
Stylus,2010 - TJ Holowaychuk,419
Ion,2016 - NA,416
UrWeb,2008 - NA,349
GAP,1986 - gap,356
Vim script,1991 - NA,422
Sather,1990 - Steve Omohundro,435
FreeBASIC,2004 - Andre Victor,389
MMX instruction set,1997 - NA,340
JScript,1996 - NA,342
unison,2015 - NA,400
Pig Latin,2008 - NA,364
TXL,1985 - James Cordy,432
RMarkdown,2014 - JJ Allaire,402
chrysaLisp,2015 - Chris Hinsley,382
CIL,1994 - NA,445
EML,1974 - NA,361
starlark,2018 - Laurent Le Brun,387
FASTQ,2000 - NA,366
Punched tape,1943 - NA,352
Latte,2008 - David Grudl,369
Smarty,2006 - Monte Ohrt and Messju Mohr and Uwe Tews,446
Nu,2007 - Tim Burks,449
Multics,1967 - NA,357
DTD,1996 - NA,358
Malbolge,1998 - Ben Olmstead,372
Xtend,2011 - Sven Efftinge and Sebastian Zarnekow,447
Tiny BASIC,1975 - Dennis Allison,451
ALGOL W,1966 - NA,457
tornado,2009 - NA,460
JFlex,2003 - NA,385
DTrace,2005 - NA,398
Ragel,2007 - NA,453
AspectJ,2001 - NA,383
Caml,1985 - Gérard Huet and Guy Cousineau and Ascánder Suárez and Pierre Weis and Michel Mauny,471
Fortress,2004 - NA,472
PARI/GP,1985 - NA,470
jq,2012 - Stephen Dolan,461
Pure Data,1996 - NA,430
Max,1990 - NA,375
muPad,1997 - NA,476
HLSL,2002 - NA,466
Unicon,2008 - Clint Jeffery,478
RDFa,2004 - NA,410
Ring,2016 - Mahmoud Fayed,468
HOPE,1978 - NA,485
Free Pascal,1997 - NA,391
XSLT,1998 - NA,479
RPL,1984 - NA,491
Diff,1974 - NA,408
mlir,2019 - NA,434
Gosu,2002 - NA,487
OpenVera,2001 - NA,488
SIL,2012 - NA,489
mermaid,2014 - NA,492
High Level Assembly,2011 - Randall Hyde,483
commonmark,2014 - John MacFarlane,424
Atmel AVR,1996 - NA,396
Eve,2016 - NA,454
Cue,2018 - Marcel van Lohuizen,443
Fennel,2016 - Calvin Rose,428
JCL,1964 - NA,423
RATFOR,1976 - NA,500
GLSL,1992 - NA,497
Curry,1990 - Michael Hanus and Sergio Antoy,498
Slash,2012 - NA,401
MusicXML,2004 - NA,496
Enso,2015 - Wojciech Danilo,429
Luna,2015 - Wojciech Danilo,433
Golo,2012 - Webmaster,412
NSIS,2001 - NA,407
TreeSheets,2019 - Wouter van Oortmerssen,418
